id,good_ingredients,bad_ingredients
222,"['glycerin', 'sodium hyaluronate', 'tocopherol', 'sodium hyaluronate']",[]
223,"['glycerin', 'sodium hyaluronate', 'titanium dioxide']",['dipropylene glycol']
224,"['glycerin', 'sodium hyaluronate', 'titanium dioxide']","['dipropylene glycol', 'propylene glycol', 'benzophenone-4']"
225,['glycerin'],[]
226,"['glycerin', 'tocopherol']",[]
227,['glycerin'],[]
228,"['glycerin', 'sodium hyaluronate', 'ethylhexyl glycerin']",[]
229,['tocopherol'],[]
230,['tocopherol'],[]
231,['tocopherol'],[]
232,['tocopherol'],[]
233,['glycerin'],[]
234,['tocopherol'],[]
235,[],[]
236,['tocopherol'],[]
237,['tocopherol'],[]
238,['tocopherol'],[]
239,"['glycerin', 'ethylhexyl glycerin']",[]
240,[],[]
241,['tocopherol'],[]
242,"['tocopherol', 'titanium dioxide']",[]
243,['tocopherol'],[]
244,[],['benzophenone-3']
245,['tocopherol'],[]
246,['tocopherol'],[]
247,['glycerin'],[]
248,[],[]
249,[],[]
250,[],[]
251,['tocopherol'],[]
252,['tocopherol'],[]
253,[],[]
254,[],[]
255,['glycerin'],[]
256,[],[]
257,[],[]
258,[],[]
259,"['glycerin', 'panthenol']",[]
260,['tocopherol'],[]
261,['tocopherol'],[]
262,[],[]
263,[],[]
264,['tocopherol'],[]
265,[],[]
266,[],[]
267,[],[]
268,['tocopherol'],[]
269,['tocopherol'],[]
270,"['glycerin', 'titanium dioxide']",[]
271,[],[]
272,"['glycerin', 'tocopherol']",[]
273,"['glycerin', 'sodium hyaluronate', 'titanium dioxide']",['propylene glycol']
274,['tocopherol'],[]
275,[],[]
276,['tocopherol'],[]
277,['glycerin'],[]
278,['tocopherol'],[]
279,[],[]
280,[],[]
281,['linoleic acid'],[]
282,['tocopherol'],[]
283,['tocopherol'],[]
284,[],[]
285,"['panthenol', 'ethylhexyl glycerin']",[]
286,"['tocopherol', 'tocopherol']",[]
287,['tocopherol'],[]
288,[],[]
289,['tocopherol'],[]
290,[],[]
291,[],[]
292,"['tocopherol', 'titanium dioxide']",[]
293,[],[]
294,[],[]
295,[],[]
296,[],[]
297,[],[]
298,['tocopherol'],[]
299,['glycerin'],[]
300,"['glycerin', 'sodium hyaluronate']",[]
301,['tocopherol'],[]
302,"['tocopherol', 'glycerin', 'sodium hyaluronate']",[]
303,['tocopherol'],[]
304,[],[]
305,"['glycerin', 'sodium hyaluronate', 'tocopherol']",[]
306,"['niacinamide', 'sodium hyaluronate', 'panthenol']",['dipropylene glycol']
307,"['glycerin', 'tocopherol', 'sodium hyaluronate']",[]
308,"['glycerin', 'allantoin']",[]
309,"['glycerin', 'sodium hyaluronate', 'tocopherol']",[]
310,"['glycerin', 'ethylhexyl glycerin', 'allantoin']",['dipropylene glycol']
311,"['glycerin', 'tocopherol']",['propylene glycol']
312,['tocopherol'],[]
313,['glycerin'],[]
314,['tocopherol'],['dipropylene glycol']
315,"['glycerin', 'ethylhexyl glycerin']",[]
316,"['glycerin', 'ethylhexyl glycerin', 'sodium hyaluronate']",[]
317,"['glycerin', 'ethylhexyl glycerin']",[]
318,"['tocopherol', 'glycerin']",[]
319,"['glycerin', 'sodium hyaluronate', 'ethylhexyl glycerin']",[]
320,['tocopherol'],[]
321,"['glycerin', 'niacinamide', 'ethylhexyl glycerin', 'allantoin', 'sodium hyaluronate']",['dipropylene glycol']
322,['glycerin'],[]
323,"['glycerin', 'ethylhexyl glycerin', 'sodium hyaluronate']",[]
324,"['glycerin', 'ethylhexyl glycerin']",[]
325,['glycerin'],[]
326,['glycerin'],[]
327,"['tocopherol', 'glycerin']",[]
328,['glycerin'],[]
329,[],[]
330,"['glycerin', 'ethylhexyl glycerin']",[]
331,['wheat amino acids'],[]
332,"['glycerin', 'ethylhexyl glycerin', 'allantoin']",[]
333,['glycerin'],[]
334,"['glycerin', 'centella asiatica extract']",[]
335,['glycerin'],['benzophenone-4']
336,['glycerin'],[]
337,['hydrolyzed sodium hyaluronate'],[]
